name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax,mainModel,type
LGBM Drugs,0.45169430877209976,0.41773479078360376,0.19399880595334573,3.212713091820649,0.467213716272201,0.4302639816591928,0.21194705396767888,0.009846625863358067,LGBM,Fingerprints
LGBM Coeffs+Single,0.5960130175434574,0.5628719551724001,0.3520939177259198,2.7561545310200564,0.5610218628552889,0.5338417247865725,0.3034124877041757,0.00793986427018561,LGBM,Coeffs+Single Agent
RF Drugs,0.48440459477742265,0.4522640481288028,0.23450382287421656,2.9986856858409925,0.48795098780065355,0.4525589625100049,0.23765176271785204,0.008863011851661067,RF,Fingerprints
RF Coeffs+Single,0.5562365335269716,0.5311671615004694,0.3071875292091697,2.9281276559974154,0.5351822713337753,0.5155823109531321,0.2854096943379656,0.008947273825291015,RF,Coeffs+Single Agent
DL Drugs,0.450373571651404,0.42325362404147526,0.1342524369496092,3.504486282359747,0.4425641353080826,0.4206210509757965,0.16489041915187763,0.01041020879472579,DL,Fingerprints
DL Coeffs+Single,0.536011516524393,0.504542460774298,0.2520466059233748,3.061168248516435,0.5061735573484071,0.48605768039678376,0.22441622038626752,0.009647732563893296,DL,Coeffs+Single Agent
XGBoost Drugs,0.4721193916041624,0.44609481078057434,0.2190345576546161,3.2040250644387793,0.3941723662124702,0.36722884496944025,0.15258048144282,0.009743744346846602,XGBoost,Fingerprints
XGBoost Coeffs+Single,0.6046878902135713,0.5721103441291474,0.36425820509513385,2.582741071096291,0.5106036456157952,0.4892442564635997,0.25726310930386376,0.008902145302005561,XGBoost,Coeffs+Single Agent
Ensemble Drugs,0.45990851907840724,0.4421746137488643,0.19750774382006486,0.7907648117419461,0.4488351993785018,0.42792662854568053,0.19272728863421407,0.002383547568349562,Ensemble,Fingerprints
Ensemble Coeffs+Single,0.5711413307593615,0.5515076428322314,0.3228220374790418,0.6957101555006133,0.5259816028306241,0.5054254634654622,0.2732261112829645,0.0021705763153513163,Ensemble,Coeffs+Single Agent
