name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax,mainModel,type
LGBM Drugs,0.6342563356110718,0.6204132530251341,0.401515973360854,2.3740363563618105,0.5873358567472496,0.5677562994323848,0.3433106536242988,0.007921410895484135,LGBM,Fingerprints
LGBM Coeffs+Single,0.6957465273631216,0.6698628410826908,0.48373948127408184,2.0920138780730397,0.6414212497987378,0.6208030218758372,0.4103244401152919,0.007253683080905812,LGBM,Coeffs+Single Agent
RF Drugs,0.5983326969755279,0.5888384023090955,0.3548313873096425,2.559338068374307,0.569008709381682,0.5539167763911929,0.32231427671150814,0.00825083499956455,RF,Fingerprints
RF Coeffs+Single,0.6603500240834146,0.6425599066751534,0.419448641799507,2.3902307745242526,0.6125700318061509,0.6014541353344203,0.3633761107721667,0.007793598150672849,RF,Coeffs+Single Agent
DL Drugs,0.6428816219170983,0.6221096358843538,0.409047420977003,2.391466074445174,0.5557363791253229,0.5610698036067763,0.3010466513510538,0.00843207085302917,DL,Fingerprints
DL Coeffs+Single,0.6737008710321856,0.6478841769917301,0.4510850430101532,2.2274177818871053,0.5741261176973607,0.5757675731108797,0.32179278036181047,0.00825990872973834,DL,Coeffs+Single Agent
XGBoost Drugs,0.6141998239213521,0.6029311037260738,0.37704658606003916,2.5564347071863636,0.45658796549336156,0.4446761032898124,0.20716494722972723,0.009902640829903664,XGBoost,Fingerprints
XGBoost Coeffs+Single,0.6819114650246311,0.6574385188712131,0.46380513522444444,2.1105757209023097,0.5395293622145585,0.5154033309394096,0.28533381411871006,0.008495608163535728,XGBoost,Coeffs+Single Agent
Ensemble Drugs,0.6237927821042498,0.6061999411565387,0.38895942202978906,0.6063628397568637,0.543964032005724,0.5283820116209735,0.2956393914116928,0.002119297685226921,Ensemble,Fingerprints
Ensemble Coeffs+Single,0.6742585129199397,0.65774904020398,0.4542943456605555,0.5498812331534694,0.5889160376001876,0.5733879484781461,0.3466818925966245,0.0019783345856912104,Ensemble,Coeffs+Single Agent
