Library,Anchor,R2
Irinotecan,Palbociclib,0.8124877603420433
Dabrafenib,Gemcitabine,0.797937147798653
5-Fluorouracil,Erlotinib,0.7746252818257445
SCH772984,Temozolomide,0.7562005925094157
Irinotecan,5-Fluorouracil,0.7546656317223593
OSI-027,SCH772984,0.7516495970265025
Tozasertib,5-Fluorouracil,0.742848509161989
Dasatinib,MK-1775,0.7423052975074749
Cisplatin,Palbociclib,0.732897024977603
Cisplatin,5-Fluorouracil,0.7291003615522726
5-Fluorouracil,Gemcitabine,0.7250348033999989
KU-55933,Gemcitabine,0.7228065955141163
SCH772984,MK-2206,0.7169612002547329
Tozasertib,Gemcitabine,0.7163618771487591
Cisplatin,Sorafenib,0.7135862419354959
Lapatinib,Linsitinib,0.7046819386741405
Trametinib,MK-2206,0.7046170131225242
Vinorelbine,LGK974,0.7005748302141726
Dasatinib,SCH772984,0.699612931342577
Gemcitabine,Sorafenib,0.6977983375941563
Camptothecin,Palbociclib,0.6924396716427935
Vinorelbine,Nutlin-3a (-),0.6915687668113475
Tozasertib,Crizotinib,0.6877045254257267
Irinotecan,Paclitaxel,0.684800955622743
Linsitinib,Pictilisib,0.6832016641984904
5-Fluorouracil,Palbociclib,0.6817988932895911
Cisplatin,SCH772984,0.681071871394721
Vinorelbine,Taselisib,0.6783609334160527
Taselisib,SCH772984,0.6761700418532655
MK-2206,Lapatinib,0.6758484472556918
Trametinib,Vinorelbine,0.6752114398595835
Dactolisib,SCH772984,0.6721341354123334
Dasatinib,Gemcitabine,0.6708987223834484
Dasatinib,Oxaliplatin,0.6658869113387026
Axitinib,Navitoclax,0.6629743261670547
Tozasertib,Axitinib,0.6609287572960074
Dabrafenib,Cisplatin,0.6571344599309563
AZD7762,Palbociclib,0.6545989467809912
AZD6482,Navitoclax,0.6523946412278523
Palbociclib,Cisplatin,0.6502057547533311
BI-2536,MK-2206,0.6501997397732836
Nutlin-3a (-),Palbociclib,0.6455077004541492
AZD7762,Gemcitabine,0.6440626075732956
Gemcitabine,Palbociclib,0.641881463920689
Temozolomide,Crizotinib,0.6415372400737447
Irinotecan,MK-2206,0.6410974205817186
Dasatinib,MK-2206,0.6404091634988891
Pictilisib,OSI-027,0.6398874607574094
Linsitinib,OSI-027,0.6390761694864568
AZD7762,MK-1775,0.6355899498839013
Navitoclax,Sorafenib,0.6341084335849734
Afatinib,MK-2206,0.6322663698619966
NU7441,Navitoclax,0.6282004327280009
Camptothecin,5-Fluorouracil,0.6277353271280532
BI-2536,Pictilisib,0.6262487743738827
Dasatinib,Trametinib,0.6259025799748876
Dabrafenib,Bortezomib,0.6257993764710099
Camptothecin,Pictilisib,0.6255430128112629
Gemcitabine,Paclitaxel,0.6251517852818074
SCH772984,AZD8055,0.6239412105649021
Palbociclib,Docetaxel,0.6233300692061124
KU-55933,Temozolomide,0.6200321075111384
Trametinib,Taselisib,0.6171995537390571
MK-2206,Vinorelbine,0.616875675136187
Vinorelbine,MK-2206,0.615620293085844
Lapatinib,Crizotinib,0.6137297037476968
Nutlin-3a (-),5-Fluorouracil,0.6130262053950777
