name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax,mainModel,type
LGBM Drugs,0.7183659740241175,0.6961465150771595,0.513677400787157,1.9365504186067146,0.6837010012294712,0.6541241815639265,0.465924342620853,0.006511510649564605,LGBM,Fingerprints
LGBM Coeffs+Single,0.7628107907633066,0.7376491191424388,0.5818550640850833,1.6983723004921194,0.7241366415881282,0.6968897069780158,0.5243640383638795,0.0057808091234447835,LGBM,Coeffs+Single Agent
RF Drugs,0.6935390468342526,0.6749628710737005,0.46485108149012344,2.1309782104196806,0.662640544327297,0.6422133651120824,0.42570329313846766,0.007001890221115253,RF,Fingerprints
RF Coeffs+Single,0.732263691196267,0.7085894933544478,0.5205584944838075,1.947339553194128,0.6908722115140395,0.6732482823643487,0.46375314010323543,0.006517465015568788,RF,Coeffs+Single Agent
DL Drugs,0.6931429256945733,0.6679897486298124,0.47309958902529914,2.0981324188690107,0.6171813596224173,0.6164489647385167,0.3680829186386816,0.0077044043256307895,DL,Fingerprints
DL Coeffs+Single,0.7229189011512428,0.6974205077177736,0.5170658554814982,1.9615255466802415,0.6294675415499473,0.6284106898519312,0.382306989724042,0.0075073494800695926,DL,Coeffs+Single Agent
XGBoost Drugs,0.727327480020669,0.7052242282119986,0.5264189532443747,1.8858131944171277,0.5326191434133694,0.5026761784403921,0.27607345229458435,0.008826194116426333,XGBoost,Fingerprints
XGBoost Coeffs+Single,0.7492413028609812,0.7236117530968911,0.5575392040207279,1.797135623084042,0.587988654775307,0.5601209089539847,0.33396523613740603,0.00809488800263139,XGBoost,Coeffs+Single Agent
Ensemble Drugs,0.7354888001572074,0.7146097018305502,0.5365251467626048,1.1547318488544571,0.6742765040912737,0.6560258781558331,0.4403056393548166,0.0042680689647757375,Ensemble,Fingerprints
Ensemble Coeffs+Single,0.768767948303639,0.7430888653898661,0.5820554796843322,1.6975582758008814,0.7132020651006251,0.6937066107131089,0.48924305207543084,0.00620766439583053,Ensemble,Coeffs+Single Agent
