name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
DL,0.6931429256945733,0.6679897486298124,0.47309958902529914,2.0981324188690107,0.6171813596224173,0.6164489647385167,0.3680829186386816,0.0077044043256307895
EN,0.42497560417077834,0.4178910840385381,0.17967482803692802,3.254678604071735,0.33599674489585973,0.3170223207630909,0.10270131792484849,0.010932504854032587
SVR,0.4268075889747147,0.42010253066286724,0.1821365323201547,3.258310795315804,0.42160366097097707,0.4075734934794085,0.17759212478020392,0.01002653699415784
RF,0.6935390468342526,0.6749628710737005,0.46485108149012344,2.1309782104196806,0.662640544327297,0.6422133651120824,0.42570329313846766,0.007001890221115253
XGBoost,0.6546947068438261,0.631991990651755,0.4122909492682867,2.3338108046368284,0.4790885816331691,0.4479230331954895,0.21868284885068656,0.009486898756820187
LGBM,0.7183659740241175,0.6961465150771595,0.513677400787157,1.9365504186067146,0.6837010012294712,0.6541241815639265,0.465924342620853,0.006511510649564605
Ensemble,0.7220785709149949,0.702300684498992,0.518925370295768,1.065790027084763,0.6777409364486302,0.6603959756220886,0.4571741048861493,0.003680405309232682
Baseline,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908
DL-Shuffled,0.6967271647737896,0.6708233359519578,0.47985871798041857,2.0712173751744762,0.6146039059198555,0.6074604505907152,0.3691126167142377,0.007691850130560899
Ridge,0.42978785440885264,0.4230198945858847,0.18468794587990534,3.246595782834172,0.4231429652226637,0.41044341183818717,0.17901971410236117,0.010009484238503693
